accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
93.1.123.A,1993-01-01,Arrowhead,North American Indian,stone,grey,WCMA-AMERINDIAN,0.0
RC.17.72,1993-01-01,Untitled: Floral motif,O. J. Larssen,pencil on paper,,WCMA Reserve Collection,0.0
20.1.29,1920-01-01,Tablet with cuneiform,Mesopotamian,clay,,WCMA-ANCIENT,0.0
RC.4.9,1994-01-01,Calla Lilies,after Charles Demuth,photo reproduction,,WCMA Reserve Collection,0.0
RC.15.15.B,1992-01-01,Model of Lawrence Hall,Charles Willard Moore,painted wood,,WCMA Reserve Collection,0.0
60.39.3,1960-01-01,Headrest Amulet,Egyptian,stone,"dark brown, smooth finish",WCMA-ANCIENT,0.0
43.2.163,1943-01-01,Bowl or Basin,American,pewter,,WCMA-DEC ARTS,0.0
RC.4.19.D,1994-01-01,Facsimile intaglios,Giovanni Liberotti,plaster,One of four trays totaling 102 intaglios; Small cameo souvenirs brought by travellers on Grand Tours,WCMA Reserve Collection,0.0
60.39.1.E,1960-01-01,Scarab,Egyptian,stone,marblized (black and white),WCMA-ANCIENT,0.0
93.1.65.A,1993-01-01,Small container,Anonymous,gourd,,WCMA-AMERINDIAN,0.0
60.39.6.Q,1960-01-01,Seal amulet with hieroglyphs,Egyptian,faience,,WCMA-ANCIENT,0.0
96.6.1,1996-05-13,Piss Elegance,Andres Serrano,photograph,,WCMA-PHOTO,0.0
RC.22.50.A,1994-01-01,Arrow,North American Indian?,wood | feather | twine,,WCMA Reserve Collection,0.0
DF.16,1929-01-01,Seven drawings of mythological figures,Pierre Puget (?),drawings,SEE individual screens DF.16.A-G,WCMA-DRAWING,0.0
94.24.9,1994-12-20,Hummingbird Brooch,Joan Brown,"18K vermeil, sapphire",,WCMA-DEC ARTS,0.0
RC.4.19.C,1994-01-01,Facsimile intaglios,Giovanni Liberotti,plaster,One of four trays totaling 102 intaglios; Small cameo souvenirs brought by travellers on Grand Tours,WCMA Reserve Collection,0.0
79.75.28,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.111,1993-01-01,Fragment with toes,Anonymous,marble,,WCMA-ANCIENT,0.0
79.75.95,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
59.21.5.D,1959-01-01,Shawabti,Egyptian,faience,green,WCMA-ANCIENT,0.0
90.2,1990-01-01,Acrylic Cube,Richard Joseph Anuszkiewicz,incised acrylic sheets,,WCMA-SCULPTURE,0.0
67.34.10,1967-01-01,The Return of the Flock,Lesigne,print on paper,,WCMA-PRINTS,0.0
RC.4.19.B,1994-01-01,Facsimile intaglios,Giovanni Liberotti,plaster,One of four trays totaling 102 intaglios; Small cameo souvenirs brought by travellers on Grand Tours,WCMA Reserve Collection,0.0
RC.17.73,1993-01-01,Untitled: Study of a leg,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
1887.1.37,1887-01-01,Red Figure Kylix,Greek,terracotta,,WCMA-ANCIENT,0.0
91.13,1991-01-01,The Indomitable Spirit,various artists,photographs,see individual screens 91.13.A-K (ncluding portfolio case cover),WCMA-PHOTO,0.0
79.75.36,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
67.34.2,1967-01-01,Altra Veduta del Tempio...,after Piranesi,etching on paper,,WCMA-PRINTS,0.0
93.1.15.F,1993-01-01,Scarab with hieroglyphs,Egyptian,painted stone?,light green paint,WCMA-ANCIENT,0.0
93.1.12.Q,1993-01-01,Two Plumes Amulet,Egyptian,stone,"tan [quartz?]. two fingers? [index and medius fingers, represent the fingers which Horus used to help Osiris up the ladder which reached from heaven to earth- British Museum] or two plumes/feathers? [the plumes of the atef crown-British Museum]",WCMA-ANCIENT,0.0
EL.83.13.3,,Ansco Camera with leather pouch,Agfa-Ansco,"leather, metal and glass",,WCMA-PHOTO,0.0
RC.22.25,1994-01-01,Fragment (of a tool?),Anonymous,wood,,WCMA Reserve Collection,0.0
GA.3,,Small bottle with pressed design,American,pressed glass,green glass,WCMA-DEC ARTS,0.0
RC.17.71,1993-01-01,Untitled: Study of a nose,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
RC.22.21,1994-01-01,Child's shoe ?,Near Eastern,leather,,WCMA Reserve Collection,0.0
59.21.5.B,1959-01-01,Shawabti,Egyptian,faience,green,WCMA-ANCIENT,0.0
94.1.70.D,1994-01-01,Turkeywork Side Chair,Italian?,wood | tapestry,,WCMA-DEC ARTS,0.0
79.75.29,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.137.A,1993-01-01,Seal,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.125,1993-01-01,Tool or Implement,Anonymous,stone,,WCMA-ANCIENT,0.0
RC.22.58,1994-01-01,Spear or tool,Anonymous,wood,,WCMA Reserve Collection,0.0
79.75.96,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
43.2.161,1943-01-01,Bowl,American,pewter,,WCMA-DEC ARTS,0.0
92.5.114,1992-01-01,Fighting Temeraire tugged to her last berth,Alfred-Louis Brunet-Debaines,etching on paper,,WCMA-PRINTS,0.0
93.1.14.K,1993-01-01,Animal Amulet,Egyptian,stone,white,WCMA-ANCIENT,0.0
93.1.145,1993-01-01,Coil fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
62.32.17.J,1962-01-01,Hair ornament,Egyptian,stone,red/orange color,WCMA-ANCIENT,0.0
61.19.1.O,1961-01-01,Fly Amulet,Egyptian,stone,,WCMA-ANCIENT,0.0
RC.30.15,1959,Standing dog (Staffordshire),British?,porcelain,,WCMA Reserve Collection,0.0
93.1.122,1993-01-01,Arrowhead,North American Indian,stone,,WCMA-AMERINDIAN,0.0
EL.83.13.15,,Cartridge of Film,Agfa-Ansco,film | plastic,,WCMA-PHOTO,0.0
93.1.77.AA,1993-01-01,Pottery fragment,Syrian?,baked clay,"very rough form, possibly a mistake from a pottery studio.",WCMA-ANCIENT,0.0
93.1.14.D,1993-01-01,Animal Amulet,Egyptian,stone,"cream color. Possibly head of an elephant, back of a crocodile.",WCMA-ANCIENT,0.0
1887.1.129,1887-01-01,Medal of Cardinal Medici,Anonymous (Italian?),bronze,,WCMA-DEC ARTS,0.0
93.1.77.Z,1993-01-01,Vessel,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
94.1.20,1994-01-01,Cover with floral design,French?,silk brocade and embroidery,wood? covered with silk brocade; gold/yellow color silk; pastel color flowers,WCMA-DEC ARTS,0.0
94.1.22,1994-01-01,Textile with floral design,Anonymous,silk brocade,handwoven; hot pink ground,WCMA-DEC ARTS,0.0
EL.81.3.27,,Lawrence Hall West Elevation: LH-63,Anonymous (American),ink on oilcloth,,WCMA-DRAWING,0.0
79.75.4,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.60,1993-01-01,Basket with handle,American?,cane?,,WCMA-DEC ARTS,0.0
59.21.8,1959-01-01,Tile from Palace of Rameses III,Egyptian,faience,"round, inlaid",WCMA-ANCIENT,0.0
69.6,1969-01-01,Mirror,French,gilt | mirror,,WCMA-DEC ARTS,0.0
59.21.9.B,1959-01-01,Amulet of Crown of Upper Egypt,Egyptian,faience,light green,WCMA-ANCIENT,0.0
RC.15.8,1992-01-01,"Portrait of Professor Karl E. Weston, Class of 1896",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
84.32.12,1984-01-01,Textile with floral design,Anonymous (Turkish),cloth,,WCMA-EASTERN,0.0
EL.78.2.10,,Mirror,Chippendale,mirror,gilt frame,WCMA-DEC ARTS,0.0
TL.93.88.1,,"The Marikina or Silky Monkey (from ""Silky Monkey Series"")",Gary Sojkowski,color aquatint on paper,,WCMA-PRINTS,0.0
82.10.37,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
93.1.115,1993-01-01,Fragment from a mosaic,Anonymous,stone mosaic,crude grey stone,WCMA-ANCIENT,0.0
RC.15.9,1992-01-01,"Portrait of Professor Karl E. Weston, Class of 1896",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
RC.22.24,1994-01-01,Pouch or holder,North American Indian?,reptile skin?,skin covering wood,WCMA Reserve Collection,0.0
79.75.30,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
61.19.1.G,1961-01-01,Amulet of Deity with Headdress,Egyptian,faience,"Light green shade. Coin form with relief image of Ptah-Seker-Osiris[?] or Bes on one side, the ""wedjatzi"" or eye of Horus on the other. Edge fluted.",WCMA-ANCIENT,0.0
81.45.45,1981-01-01,Gilt Frame,Anonymous,gilt wood,,EXH-Furniture,0.0
93.1.130.F,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
EL.86.5.2,,"Mass MOCA, Building 21",Anonymous (American),blueprint,,WCMA-PRINTS,0.0
59.20.6,1959-01-01,Rug,Middle Eastern,textile,,WCMA-EASTERN,0.0
1887.1.130,1887-01-01,"Medal of Bernardo Di Marcho Mesere Forese Di Giovani Salviati (recto), Charitas Sum Mun Bonun (verso)",Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.135.H,1993-01-01,Band ring,Anonymous,bronze? or iron?,,WCMA-DEC ARTS,0.0
94.1.65,1959,Drop-leaf Table,American,wood,putter legs,WCMA-DEC ARTS,0.0
94.24.12,1994-12-20,Egyptian Dancer Brooch/Buckle,Red Grooms,"18K vermeil, black enamel",,WCMA-DEC ARTS,0.0
94.1.76,1994-01-01,Side Chair,Spanish?,wood,,WCMA-DEC ARTS,0.0
93.1.149,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
RC.22.45,1994-01-01,Fragment of a net?,Anonymous,"rope, natural material",,WCMA Reserve Collection,0.0
79.75.51,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
75.37,1975-01-01,Peasants Fishing on a Riverbank,School of Jacques Callot,red chalk on paper,,WCMA-DRAWING,0.0
93.1.14.N,1993-01-01,Animal Amulet,Egyptian,stone,light brown painted white,WCMA-ANCIENT,0.0
96.7.1,1996-01-01,Figure of a robed man,Chinese,polychromed terracotta,"red, black and green",WCMA-EASTERN,0.0
RC.3.8,1991-01-01,"Poster for exhibition at the Galleria del Cavallino, Venice",Azzaroni,color lithograph,,WCMA Reserve Collection,0.0
61.19.5,1961-01-01,Shawabti with Royal Cartouche,Egyptian,faience,blue,WCMA-ANCIENT,0.0
RC.22.2,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
60.39.6.E,1960-01-01,Amulet of Apet,Egyptian,faience?,white color,WCMA-ANCIENT,0.0
RC.22.13,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
94.1.42.B,1994-01-01,Pole with zig-zag design,North American Indian?,bamboo,,WCMA-AMERINDIAN,0.0
RC.30.7,1959,Lantern vase with figures,Chinese,porcelain,,WCMA Reserve Collection,0.0
94.1.23,1994-01-01,Textile with floral design,French?,silk brocade,"with gold border; flowers in orange, pink, grey and yellow on white ground",WCMA-DEC ARTS,0.0
TI.35,1994-01-01,Embroidered square,Italian,silk,"white silk with embroidered designs.  Bound with gold gimp; designs in center, corners and on two sides",WCMA-DEC ARTS,0.0
94.1.42.A,1994-01-01,Hanging textile,Italian?,velvet,crimson color; metal rod at one end (support for hanging?),WCMA-DEC ARTS,0.0
RC.4.38,1994-01-01,The Flower Vendor,after Rivera,color reproduction,,WCMA Reserve Collection,0.0
93.1.81,1993-01-01,Dish with repoussé leaf design,Anonymous,brass,,WCMA-DEC ARTS,0.0
93.1.157,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
82.10.16,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
1887.1.133,1887-01-01,Seated Boy Removing a Thorn from his Foot,Barbedienne,bronze,,WCMA-SCULPTURE,0.0
59.21.14,1959-01-01,Pieces of mummy cartonnage,Egyptian,linen or paprus covered with plaster,,WCMA-ANCIENT,0.0
93.1.150,1993-01-01,Fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
EL.82.5.4,,Untitled: Two plantation scenes,Anonymous (American?),ink on tissue paper,,WCMA-DRAWING,0.0
92.5.79,1992-01-01,Portrait of a General,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
60.39.1.C,1960-01-01,Scarab amulet with hieroglyphs,Egyptian,stone,light brown,WCMA-ANCIENT,0.0
59.21.5.C,1959-01-01,Shawabti,Egyptian,faience,blue,WCMA-ANCIENT,0.0
93.1.134.D,1993-01-01,Arrowhead,Anonymous,bronze,,WCMA-ANCIENT,0.0
60.37.12,1960-01-01,Shawabti,Egyptian,faience,,WCMA-ANCIENT,0.0
RC.4.49,1994-01-01,"Perugia, The Northern End of the Citadel",Anonymous (American?),pencil with white heightening on paper,mounted to board,WCMA Reserve Collection,0.0
RC.4.29,1994-01-01,Reproduction cast of Grave Stele of Hegeso,"P.P. Caproni and Brother, Plastic Arts",plaster,,WCMA Reserve Collection,0.0
37.2.46,1937-01-01,Les Quatres Elements,Jules Ferdinand Jacquemart,prints,see individual screens 37.2.46.A-F,WCMA-PRINTS,0.0
79.75.94,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
59.21.9.C,1959-01-01,Headrest amulet,Egyptian,stone?,,WCMA-ANCIENT,0.0
RC.17.62,1993-01-01,Untitled: Floral motif,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
93.1.77.HH,1993-01-01,Pottery fragment,Syrian?,baked clay,Rough form. Possible mistake from a pottery studio. Possibly a part of a larger piece.,WCMA-ANCIENT,0.0
56.9,1956-01-01,Rug,Persian,textile,,WCMA-EASTERN,0.0
PB.9,1956-01-01,Icon (Priest holding Christ child),Byzantine,[tempera on?] panel,,WCMA-PAINTING,0.0
EL.83.13.12,,Kin-Dar Stereo Camera with box,Agfa-Ansco,"metal, plastic and glass",,WCMA-PHOTO,0.0
93.1.137.B,1993-01-01,Seal fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
92.5.115,1992-01-01,The Sun of Venice Going to Sea,Gaucherel,print,,WCMA-PRINTS,0.0
EL.75.3.11.B,,Calf head terminal,Greek,gold,gemstone missing?,WCMA-ANCIENT,0.0
79.75.16,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
59.21.13.J,1959-01-01,Djed Pillar amulet,Egyptian,glass paste,,WCMA-ANCIENT,0.0
RC.3.9,1991-01-01,"Poster for exhibition at the Galleria del Cavallino, Venice",Mauro Reggiani,color lithograph,,WCMA Reserve Collection,0.0
50.20.1,1950-01-01,Stone Brushing of a Map or Branches?,North Central China,ink on rice paper,woodblock print. Ancient map of China.,WCMA-EASTERN,0.0
84.32.13,1984-01-01,Textile with floral border,Anonymous (Turkish),cloth,,WCMA-EASTERN,0.0
93.1.77.Q,1993-01-01,Bead,Ancient,baked clay,,WCMA-ANCIENT,0.0
59.21.9.I,1959-01-01,Papyrus Column Amulet,Egyptian,faience,"bright, deep blue",WCMA-ANCIENT,0.0
CE.13,1887-01-01,Shallow saucer,Etruscan,bucchero nero,,WCMA-ANCIENT,0.0
92.5.68.B,1992-01-01,"Portrait of Belvidere Brooks (1888-1918), Class of 1910",George William Gage,oil on canvas,,WCMA-PAINTING,0.0
1887.1.45,1887-01-01,Small Amphora with handles,Greek,terracotta,"gray clay with decorative bands of dark brown, one zone of dots and on the shoulder rays converging on narrow neck;  An amphora is a jar with two vertical handles.",WCMA-ANCIENT,0.0
56.16.39.A,1956-01-01,Pharmacist jug,Italian,Majolica,,WCMA-DEC ARTS,0.0
FA.169,,Haudenosaunee Cradleboard,North American Indian,wood,carved design on verso,WCMA-AMERINDIAN,0.0
93.1.35,1993-01-01,Necklace with beads and amulets,Egyptian,faience,,WCMA-ANCIENT,0.0
48.2.4.F,1948-01-01,King's Rose China Plate,British,porcelain,rose china,WCMA-DEC ARTS,0.0
93.1.144.B,1993-01-01,Ornament,Anonymous,bronze,,WCMA-DEC ARTS,0.0
48.2.4.G,1948-01-01,King's Rose China Plate,British,porcelain,rose china,WCMA-DEC ARTS,0.0
61.19.1.Q,1961-01-01,Fish amulet,Egyptian,lapis lazuli,mottled dark blue,WCMA-ANCIENT,0.0
93.1.22,1993-01-01,Carved mask,Mesoamerican?,alabaster? or bone?,golden color,WCMA-AMERINDIAN,0.0
93.1.143.A,1993-01-01,Nail,Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.83,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
59.21.13.M,1959-01-01,Djed Pillar amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
43.2.115,1943-01-01,Bowl,American,wood,,WCMA-DEC ARTS,0.0
82.10.2,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
92.5.83,1992-01-01,Portrait of a Man,Anonymous (American?),oil on canvas,,WCMA-PAINTING,0.0
93.1.77.M,1993-01-01,Bowl,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio. Possibly an offering bowl.,WCMA-ANCIENT,0.0
79.75.62,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
32.2.3,1932-01-01,Letter Seal,American,ivory and metal,,WCMA-DEC ARTS,0.0
93.1.25,1993-01-01,Offering dish,Chinese?,copper,,WCMA-EASTERN,0.0
93.1.46,1993-01-01,Intaglio with head in profile,Anonymous,glass?,"translucent, purple",WCMA-ANCIENT,0.0
93.1.128.B,1993-01-01,Crucifix,Anonymous,bronze,,WCMA-DEC ARTS,0.0
93.1.202,1973-01-01,Triptych,Byzantine,"wood, polychromed and gilt",,WCMA-PAINTING,0.0
37.2.100.A,1937-01-01,Francis I et la Duchesse d'Elampes,Léopold Flameng,engraving on paper,,WCMA-PRINTS,0.0
79.75.109,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
60.39.1.D,1960-01-01,Scarab amulet with hieroglyphs,Egyptian,stone?,light brown/tan,WCMA-ANCIENT,0.0
77.63.13,1977-01-01,Vessel Pendant,Greek,gold?,,WCMA-ANCIENT,0.0
53.39,1953-01-01,Table,Spanish,walnut and iron,,WCMA-DEC ARTS,0.0
79.75.27,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.37,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.134.C,1993-01-01,Arrowhead,Anonymous,bronze,,WCMA-ANCIENT,0.0
EL.75.3.4.B,,Foil band,Mycenae?,gold foil,,WCMA-ANCIENT,0.0
67.34.11,1967-01-01,Nymphs,Kreetle,photogravure?,,WCMA-PRINTS,0.0
93.1.196,1993-01-01,Fragment from a statuette?,Anonymous,bronze,Possibly a horse's hoof (?),WCMA-ANCIENT,0.0
RC.22.34.A,1994-01-01,Circular object,Anonymous,wood,,WCMA Reserve Collection,0.0
93.1.77.II,1993-01-01,Small vase,Egyptian?,baked clay,Rough form.,WCMA-ANCIENT,0.0
EL.75.3.3.A,,Foil ornament with pattern,"Mycenaean, Greek",gold foil,,WCMA-ANCIENT,0.0
EL.83.13.7,,Agfa B2 Speedex Camera with leather case,Agfa-Ansco,"leather, metal and glass",,WCMA-PHOTO,0.0
PB.10,1993-01-01,Madonna and Child,Anonymous (Byzantine),tempera on panel,,WCMA-PAINTING,0.0
82.10.27,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
TF.2,1944-01-01,Needlepoint Cushion,French,needlepoint,,WCMA-DEC ARTS,0.0
62.32.17.K,1962-01-01,Hair ornament,Egyptian,stone,red/orange color,WCMA-ANCIENT,0.0
92.5.175,1992-01-01,War of Suan,Anonymous (Japanese?),ink and color on silk,,WCMA-EASTERN,0.0
70.18,1970-01-01,Seated pregnant woman,Nayarit,red terracotta,red with black and yellow paint,WCMA-AMERINDIAN,0.0
48.2.4.J,1948-01-01,King's Rose Teapot,English?,porcelain?,soft paste?; whiteware?,WCMA-DEC ARTS,0.0
79.75.113,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.17.59,1993-01-01,Untitled: Floral motif with goblet,O. J. Larssen,charcoal on paper,,WCMA Reserve Collection,0.0
59.21.13.N,1959-01-01,Djed Pillar amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
93.1.77.W,1993-01-01,Vessel,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
92.5.80,1992-01-01,Portrait of a Man,Anonymous (American?),oil on canvas mounted on board,,WCMA-PAINTING,0.0
93.1.82,1993-01-01,Dish with Creation scene,Anonymous,brass?,stamped floral design along border,WCMA-DEC ARTS,0.0
91.27.13,1991-01-01,Christ in Glory,Anonymous (English?),aquatint on paper,,WCMA-PRINTS,0.0
92.5.171.F,1992-01-01,Vue du Palais des Tuileries et de L'Arc de Triomphe,Jules Arnout,lithograph on paper,,WCMA-PRINTS,0.0
WP.5,,"Portrait of the Reverend Dorus Clarke, D.D. (1797-1884), Class of 1817",J. E. B.,,,WCMA-PAINTING,0.0
82.10.14,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
RC.15.13,1992-01-01,"Portrait of Professor S. Lane Faison, Jr., Class of 1929",Anonymous (American),black and white photograph,,WCMA Reserve Collection,0.0
EL.81.3.24,,"Library Addition, Williams College Library, First Floor: LH-60",Francis R. Allen,ink on oilcloth,,WCMA-DRAWING,0.0
92.5.27,1992-01-01,Unidentified: bark cloth?,Anonymous,textile on cardboard,,WCMA-DEC ARTS,0.0
56.16.23,1956-01-01,Virgin (bust length),Anonymous (Italian),papier mâché,,WCMA-SCULPTURE,0.0
94.8.7,1994-06-15,West College from the North,Louis Orr,etching,,WCMA-PRINTS,0.0
93.1.77.BB,1993-01-01,Pottery fragment,Syrian?,baked clay,"very rough form, possibly a mistake from a pottery studio. Possibly meant to be part of a larger piece, but not scored properly and fell off during the firing process.",WCMA-ANCIENT,0.0
EL.82.5.2,,Madonna and Child,Anonymous,tempera and gold leaf on panel,gold leaf ?,WCMA-PAINTING,0.0
82.10.35,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
93.1.170.A,1993-01-01,Relief fragment with design,Egyptian,limestone,,WCMA-ANCIENT,0.0
TL.84.8.2.C,,Head Cushion,African,plant fibers,,WCMA-AFRICAN,0.0
77.63.25.I,1977-01-01,Earring,Greek,gold,,WCMA-ANCIENT,0.0
30.7.2,1930-01-01,Crucifix with figural relief,Anonymous,brass,,WCMA-DEC ARTS,0.0
94.1.102.B,1994-01-01,Base,American?,wood,,WCMA-DEC ARTS,0.0
RC.22.46,1994-01-01,Fish hook,North American Indian?,"bone, wood",,WCMA Reserve Collection,0.0
79.75.110,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
91.15.69,1991-01-01,Two Lovers in a Pavillion Attended by a Maidservant,India,opaque watercolor on paper,,WCMA-EASTERN,0.0
94.8.3,1994-06-15,Reclining Woman,Wilhelm Lehmbruck,drypoint etching,,WCMA-PRINTS,0.0
RC.4.15,1994-01-01,Untitled: Female performer on stage,after Henri de Toulouse-Lautrec,reproduction | print,"note with print, ""repro""",WCMA Reserve Collection,0.0
89.14,1989-01-01,Headboard,Chinese,wood inlaid with mother of pearl,,WCMA-EASTERN,0.0
PA.109.A,1970-01-01,Still life with rabbit,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
93.1.77.U,1993-01-01,Pottery shard,Syrian?,baked clay,Possibly a mistake from a pottery workshop.,WCMA-ANCIENT,0.0
85.47.6,1985-01-01,Virodedi (armlet),African,"burlap, beads and buttons",,WCMA-AFRICAN,0.0
77.63.25.O,1977-01-01,Vessel shaped pendant,Greek,gold,,WCMA-ANCIENT,0.0
62.32.17.F,1962-01-01,hair ornament,Egyptian,stone,white,WCMA-ANCIENT,0.0
1887.1.131,1887-01-01,Medal of Ariosti Lippa and Filio Aldrovandino,Anonymous,bronze,,WCMA-DEC ARTS,0.0
59.21.9.L,1959-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
74.15,1974-01-01,"Kuan-yin, standing",Chinese,aquamarine on amethyst base,,WCMA-EASTERN,0.0
59.21.10.C,1959-01-01,Wedjat Eye Amulet,Egyptian,faience,glazed,WCMA-ANCIENT,0.0
EL.83.13.21,,Piece of photography hardware,Anonymous,metal and rubber,,WCMA-PHOTO,0.0
79.75.117,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.73,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.48,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.112,1993-01-01,Fragment,Anonymous,marble,buff colored,WCMA-ANCIENT,0.0
94.24.7,1994-12-20,Pyramid Pendant with Collar,Joan Brown,"18K vermeil, sterling silver, emerald",,WCMA-DEC ARTS,0.0
85.46.39,1985-01-01,Calligraphy,Chinese,ink on paper,,WCMA-EASTERN,0.0
93.1.130.D,1993-01-01,Tool,Anonymous,stone,,WCMA-ANCIENT,0.0
94.1.24,1994-01-01,Textile with cross and head of a saint,Flemish?,velvet | embroidery,face and cross of embroidery on velvet ground,WCMA-DEC ARTS,0.0
93.1.77.CC,1993-01-01,Pottery fragment,Syrian?,baked clay,"rough form. Possibly a fragment from a pottery studio, and meant to be part of a larger piece.",WCMA-ANCIENT,0.0
60.39.6.R,1960-01-01,Seal amulet with hieroglyphs,Egyptian,faience,,WCMA-ANCIENT,0.0
44.2.7,1944-01-01,Engraved stone,Babylon,stone,green and white,WCMA-ANCIENT,0.0
TI.36,1946-01-01,Piece of woven material,Italian,wool,with stripes of various colors; linen border at top for hanging,WCMA-DEC ARTS,0.0
94.1.77,1994-01-01,Side Chair,Spanish?,wood,,WCMA-DEC ARTS,0.0
59.21.13.I,1959-01-01,Djed Pillar amulet,Egyptian,glass paste,blue (dirty),WCMA-ANCIENT,0.0
60.36.5,1960-01-01,Apis (Bull),Egyptian,bronze,,WCMA-ANCIENT,0.0
RC.22.34.B,1994-01-01,Circular object,Anonymous,wood,,WCMA Reserve Collection,0.0
92.6.2,1992-06-25,Untitled: reclining male figure; with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
79.75.87,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
82.10.24,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
61.19.1.H,1961-01-01,Amulet of Bes,Egyptian,faience,"medium/turquoise blue. (Also possibly Ptah-Seker-Asar) Bandy-legged dwarf, clean-shaven, sometimes with a scarab-beetle upon his head...A funerary god compounded of Ptah, Seker and Osiris. Alan W. Shorter, ""The Egytian Gods"", p.138",WCMA-ANCIENT,0.0
RC.22.3,1994-01-01,Fragment of a rock,Anonymous,rock,,WCMA Reserve Collection,0.0
79.75.68,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
92.5.171.E,1992-01-01,Bourse et Tribunal de Commerce,Jules Arnout,lithograph on paper,,WCMA-PRINTS,0.0
63.31,1963-01-01,Dish,Chinese,ceramic,,WCMA-EASTERN,0.0
59.21.9.H,1959-01-01,Papyrus Column Amulet,Egyptian,faience,light blue-green,WCMA-ANCIENT,0.0
77.63.25.N,1977-01-01,Shell hoop earring,Greek,gold,,WCMA-ANCIENT,0.0
94.1.101.C,1994-01-01,"Memorial Window from Perry House, Williams College",Tiffany & Co.,stained glass,removed from Perry House in September 1968,WCMA-DEC ARTS,0.0
