id,accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
14739,A.1.2.L,1998-12-11,bag plaster for gesso,Charles Prendergast,paper; plaster,,WCMA-Prendergast,1905.5
14740,EL.77.1.1,,Ellen Mary Cassatt in a Big Blue Hat,Mary Cassatt,oil on canvas,,WCMA-PAINTING,1905.0
14742,74.20,1974-01-01,Mediterranean Landscape,Eduard Bargheer,watercolor on paper,,WCMA-DRAWING,1956.0
14743,86.4.11,1986-01-01,Female Nude,Reginald Cotterell Butler,color lithograph on paper,,WCMA-PRINTS,1963.0
14745,73.58,1973-01-01,"Male Head, Profile Left III",Karl Hofer,lithograph on paper,,WCMA-PRINTS,1946.5
14749,56.7.2,1956-01-01,Untitled: Torreador,Augustin Mongin,etching on paper,,WCMA-PRINTS,1869.0
14751,53.24,1953-01-01,Small Table,Spanish,walnut and iron,,WCMA-DEC ARTS,1649.5
14752,RC.22.36,1994-01-01,Greek relief sculpture,Anonymous,black and white photograph,mounted on cardboard,WCMA Reserve Collection,0.0
14753,85.46.60,1985-01-01,Untitled: Spanish dancer,Laura Knight,etching and aquatint on paper,,WCMA-PRINTS,0.0
14754,1887.1.9,1887-01-01,Lion,Eugène Delacroix,pen and brown ink on paper,,WCMA-DRAWING,1840.5
14755,79.36.28,1979-01-01,1972 Olympic poster,Pierre Jean Louis Soulages,color lithograph,,WCMA-PRINTS,1970.0
14757,39.1.226,1939-01-01,SEE HIM THROUGH,Burton Rice,poster,,WCMA-PRINTS,1918.0
14758,80.46.14,1980-01-01,"Albany, NY, 1962 (from ""Son of Bitch"")",Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1974.0
14759,89.18.1.O,1989-01-01,drawing for desk drawer Vermillion Years,Robin Winters,pencil and watercolor on paper,,WCMA-SCULPTURE,1989.0
14765,M.2003.3.4,2003-04-24,Snowstorm in the Village,John Sloan,etching on paper,,WCMA-PRINTS,1925.0
14768,A.1.2.QQQ,1998-12-11,vise,"R. Bliss MFG. Co., Pawtucket, RI",wood,,WCMA-Prendergast,1905.5
14772,92.5.146,1992-01-01,Untitled: Boat and figure in a stream,Anonymous (German?),etching on paper,,WCMA-PRINTS,0.0
14773,68.15,1968-01-01,Untitled,Joseph M. Wood III,collage | oil on canvas,,WCMA-PAINTING,1959.0
14775,68.21,1968-01-01,Two Men Seated in Landscape with Musician,Rajput,"opaque watercolor on paper, heightened with gold",,WCMA-EASTERN,1774.5
14776,30.2.5,1930-01-01,Bowl with Triangular Designs,American Indian,clay,red-brown paint,WCMA-AMERINDIAN,1500.0
14778,78.22.77,1978-01-01,The Tall House,Emilio Sanchez,woodcut on paper,,WCMA-PRINTS,1956.0
14779,79.75.14,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
14782,41.10,1941-01-01,Study of a Seated Female Nude,Oskar Kokoschka,crayon and watercolor on paper,,WCMA-DRAWING,1908.0
14785,M.2002.2.10,2002-06-26,Untitled,Doug Wheeler,pastel and pencil on paper,,WCMA-DRAWING,1972.0
14786,87.14.7,1987-01-01,The Piazza in Venice with San Marco and the Campanile,Giovanni Battista Brustolon,engraving on paper,,WCMA-PRINTS,1754.0
14787,81.14.2,1981-01-01,B. Black,Justin Knowles,screenprint on paper,,WCMA-PRINTS,1970.0
14791,79.58.27,1979-01-01,Untitled,Arthur Segal,woodcut,,WCMA-PRINTS,1909.0
14795,81.27.1,1981-01-01,Travel map of a river,India,"pencil, pen and watercolor on paper",,WCMA-EASTERN,0.0
14796,38.25,1938-01-01,"The Procession of Edward VI from the Tower of London to Westminster, Feb. 19, 1547, previous to his Coronation",James Basire,engraving,,WCMA-PRINTS,1787.0
14797,PFR.11,1927-01-01,Artillery Marching,Jean Louis Ernest Meissonier,watercolor over graphite on paper,,WCMA-DRAWING,1868.0
14814,M.2003.5,2003-05-28,Oppenheimer's Garden,Robert ParkeHarrison,gelatin silver print,,WCMA-PHOTO,1999.0
14820,85.26.23,1985-01-01,Sketchbook Page,Maurice Brazil Prendergast,pencil on sketchbook page,,WCMA-Prendergast,1908.5
14822,86.15.4,1986-01-01,Lost Shadows for Jack,Jon Carsman,color silkscreen on paper,,WCMA-PRINTS,1976.0
14824,94.1.60,1959,Stool,American,wood,simple design with bulb and ring turnings on the two side stretchers and single center connecting stretcher; molded square top with chamfered edge,WCMA-DEC ARTS,1745.0
14826,94.6.1,1994-04-20,Blast: The Blue Box,The X-Art Foundation,"wood box in shape of small writing desk, with numerous small artworks by various artists",,WCMA-SCULPTURE,1991.0
14827,79.58.52,1979-01-01,Untitled,Arthur Segal,woodcut,,WCMA-PRINTS,1909.0
14829,80.28.7,1980-01-01,Blues Dovetailed in Yellow,Patrick Heron,screenprint,,WCMA-PRINTS,1970.0
14830,M.2003.26.1.D,2003-12-12,Mid 19th Century Railroad Roundhouse with Steam Engines,Matt Mullican,acrylic | oil stick | rubbing | on canvas | panels,panel 4 of 5,WCMA-PAINTING,1989.0
14836,81.31.83,1981-01-01,Shoalstone Bathing Pool,Arthur John Trevor Briscoe,watercolor on paper,,WCMA-DRAWING,1940.0
14842,82.26.9,1982-01-01,"No brains, no brains; Slackers",Rube Goldberg,pen and ink over pencil on posterboard,,WCMA-DRAWING,1926.5
14843,94.28.I,1994-12-25,"Billboard painters, Florida, 1934 (from ""Walker Evans I"")",Walker Evans,black and white photograph,,WCMA-PHOTO,1977.0
14844,77.9.39,1977-01-01,Theatre,Lee Gatch,oil on canvas,,WCMA-PAINTING,1955.0
14846,43.1,1943-01-01,The Little Flower Girl,Narcisse Virgile Diaz de la Peña,oil on paper mounted to cardboard,,WCMA-PAINTING,1841.5
14848,82.17,1982-01-01,"Cathedral of Sainte Cécile from north, Albi",Louis Isidore Kahn,pen and ink on notebook paper,,WCMA-DRAWING,1959.0
14849,92.5.137.F,1992-01-01,"The Siege of La Rochelle, plate H",Jacques Callot,etching on paper,,WCMA-PRINTS,1849.5
14850,39.1.258,1939-01-01,"CAN Vegetables, Fruit AND the Kaiser too",J. Paul Verrees,poster,,WCMA-PRINTS,1918.0
14852,95.4.29,1995-03-03,"Animal Decoration on Glass, with mirror",Charles Prendergast,"reverse painting in tempera with silver and gold leaf on glass, with mirror, in gessoed, carved and gilded wooden frame",,WCMA-Prendergast,1930.0
14853,79.75.93,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
14864,81.13.24,1981-01-01,Marine,Pierre Celice,color lithograph on paper,,WCMA-PRINTS,1971.0
14869,72.25,1972-01-01,La Ronde,Anne Youkeles,serigraph on paper,3 dimensional,WCMA-PRINTS,1972.0
14870,39.1.145,1939-01-01,Tell That to the Marines!,James Montgomery Flagg,poster,,WCMA-PRINTS,1918.0
14872,94.1.104,1994-01-01,Untitled: rooftops,Anonymous,gelatin silver print,,WCMA-PHOTO,0.0
14873,41.15.50,1941-01-01,Album of twelve paintings1.  Two scholars examining a drawing of bamboo leaves2.  Cherry trees enveloped by mist3.  A woman on a terrace with bananas bathing her baby boy4.  A cottage in the hills5.  A fisherman clad in a blue coat resting in hi,Anonymous (Chinese),color on silk,"embroided cover of red with yellow, white, pink, blue and green designs. Said to be by Tang Yin, but probably  not. There is a date written on it which is probably incorrect.",WCMA-EASTERN,1849.5
14874,81.24.56,1981-01-01,"Professor Lucifer Gorgonzola Butts, A.K. invents a simple way to put out the light after you fall asleep",Rube Goldberg,India ink on paper,India ink over pencil sketch with printed plastic overlay cut out (on blanket).,WCMA-DRAWING,1933.0
14876,78.42.3,1978-01-01,"Helen Newland, Westminster West, Vermont",Ann McBroom,gelatin silver print,,WCMA-PHOTO,1978.0
14877,79.75.39,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
14880,79.59.16,1979-01-01,Pogany,Ronald B. Kitaj,color screenprint and lithograph on paper,,WCMA-PRINTS,1955.5
14882,99.1.135,1999-03-05,The Minute-Man--Fixed by the Spirit of '76.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1876.0
14883,M.2003.14.G,2003-07-24,"[Atlanta]: Image from Stacks from Felix Gonzalez-Torres Exhibition, Guggenheim Museum, March 3-May 10, 1995",Felix Gonzalez-Torres,off-set lithograph,,WCMA-PRINTS,1995.0
14892,82.22.15,1982-01-01,"Near Haverstrow, Hudson River",John Marin,watercolor and charcoal on paper,,WCMA-DRAWING,1925.0
14893,29.1.9,1929-01-01,The Small Horse,Albrecht Dürer,engraving on paper,,WCMA-PRINTS,1505.0
14896,1887.1.31,1887-01-01,Tripodal Bowl,Panamanian,biscuit ware,"three wedge shaped legs, the upper part of which has the form of a grotesque animal head with human arms below",WCMA-AMERINDIAN,0.0
14897,74.22,1974-01-01,Images et Figurae Bibliorum (Genesis 9:13),Peter van der Borcht,etching on paper,,WCMA-PRINTS,1576.5
14899,80.21.3,1980-01-01,Artweek Boston 1980,Flora Natapoff,lithograph on paper,,WCMA-PRINTS,1980.0
14900,83.24.19,1983-01-01,"Drawing for ""Body Wall""",Vito Acconci,graphite on graph paper,,WCMA-DRAWING,1983.0
14901,83.24.20,1983-01-01,"Drawing for ""Body Wall""",Vito Acconci,graphite on graph paper,square cut out lower center of sheet,WCMA-DRAWING,1983.0
14904,32.3.3,1932-10-01,Bamboo Spray,Goshi Kwan,color block on paper,woodblock print mounted on cardboard.,WCMA-EASTERN,0.0
14906,84.7,1984-01-01,New York Reds,Anders Knutsson,"oil, wax and resin on linen",,WCMA-PAINTING,1977.0
14907,95.4.53,1995-03-03,"Plum Garden at Kameido (Kameido umeyashiki) (from the series ""Famous Places in Edo"" (Edo meisho)).",Hiroshige,color woodblock print,,WCMA-EASTERN,1854.0
14910,93.1.96,1993-01-01,Palette with spout,Egyptian?,alabaster,,WCMA-ANCIENT,0.0
14913,93.1.146.E,1993-01-01,Jewelry fragment (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
14914,75.43.4.I,1975-01-01,Sphinx and Griffin,Etruscan,carnelian,,WCMA-ANCIENT,-550.0
14917,92.21.11,1992-01-01,"Sydney, Australia, 1977",Grant Mudford,gelatin silver print,,WCMA-PHOTO,1978.5
14920,TL.92.60.1,,Untitled: Interior of a Cathedral,A. Biasioli,etching on paper,,WCMA-PRINTS,0.0
14921,37.2.115,1937-01-01,Three Boats,Reinier Zeeman,etching on paper,,WCMA-PRINTS,1650.0
14932,JE.1.H,1948-01-01,Bead amulet,Egyptian,glass (or stone?),Grey with black circular striations,WCMA-ANCIENT,0.0
14933,99.1.228,1999-03-05,"March 4, 1877.",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1877.0
14937,48.2.3.I,1948-01-01,Gaudy Dutch plate,Staffordshire,handpainted earthenware,,WCMA-DEC ARTS,1600.0
14938,49.7,1949-01-01,Romanesque Capital,Anonymous (French),limestone,,WCMA-SCULPTURE,1149.5
14940,74.54,1974-01-01,Merton of the Movies,Roy Lichtenstein,color lithograph on paper,,WCMA-PRINTS,1968.0
14941,77.9.89,1977-01-01,Circus Performers,Everett Shinn,oil on canvas board,,WCMA-PAINTING,1913.0
14944,RC.27.2,1992-01-01,In the Forest,Gabor F. Peterdi,etching on paper,,WCMA Reserve Collection,1957.0
14945,92.21.42,1992-01-01,Untitled NYC 1949,Louis Faurer,gelatin silver print,,WCMA-PHOTO,1965.0
14946,84.26.132,1984-01-01,Page from sketchpad,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
14949,78.40.5,1978-01-01,Man Holding a Staff,Giuseppe Raggio,graphite on paper,,WCMA-DRAWING,1869.5
14950,92.21.35,1992-01-01,"Untitled [Street Scene 2] (from ""The Most Crowded Block"" series)",Aaron Siskind,gelatin silver print,,WCMA-PHOTO,1940.0
14952,41.15.57,1941-01-01,Album of twelve flower and bird paintings,Jen Wei-ch'ang,colors on paper,May not be by this artist.,WCMA-EASTERN,1849.5
14953,52.7.25,1952-01-01,Up Against a Stone Wall!,John Harmon Cassel,crayon and ink on board,,WCMA-DRAWING,1918.0
14954,89.21.10,1989-01-01,Avoid the Issues,Dennis A. Oppenheim,chromogenic color photograph,,WCMA-PHOTO,1974.0
14964,92.5.113,1992-01-01,Fighting Temeraire tugged to her last berth,Alfred-Louis Brunet-Debaines,etching on paper,,WCMA-PRINTS,0.0
14966,95.7.J,1995-05-13,"Untitled (from ""Artists' Impressions"")",James G. Davis,lithograph on paper,,WCMA-PRINTS,1990.0
14967,39.1.113,1939-01-01,Tired of Giving?...,Jay Norwood Darling,poster,,WCMA-PRINTS,1910.0
14969,79.69.1,1979-01-01,Geese/Hungary,Elliott Erwitt,gelatin silver print,,WCMA-PHOTO,1964.0
14970,91.28.13,1991-01-01,Harbor Village,Maurice Brazil Prendergast,watercolor and pencil on paper,,WCMA-Prendergast,1917.5
14971,88.7.1,1988-01-01,Stoneware Teapot 26A,Ken Friedman,stoneware with incised paint,several small chips in paint,WCMA-DEC ARTS,1987.0
14972,M.2014.2,2014-03-19,Team Spirit,Vaughan Grylls,photo collage,7 framed panels with 40 dry mounted photographs in each panel,WCMA-PHOTO,1988.0
14973,79.75.46,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
14974,94.1.82.E,1994-01-01,Side Chair,Anonymous,wood,caned chair; William & Mary style,WCMA-DEC ARTS,0.0
14975,78.59.3,1978-01-01,Pottery Sherd,Greek,clay,,WCMA-ANCIENT,-900.0
14976,WP.11,1850-01-01,"Portrait of Chester Dewey (1784-1867), Class of 1806, Williams College Tutor 1808-10 and Professor of Math & Natural Philosophy 1810-27",Grove Sheldon Gilbert,oil on canvas,,WCMA-PAINTING,1854.5
14977,79.56.12,1979-01-01,Illustration: Rilke,Sidney Robert Nolan,color lithograph,,WCMA-PRINTS,1948.0
14980,M.2003.22.7,2003-12-04,Untitled,Scott Davis,ink on paper,,WCMA-DRAWING,1980.0
14981,M.2003.23,2003-12-04,Figure,Graham Vivian Sutherland,lithograph on paper,,WCMA-PRINTS,1953.0
14982,M.2003.20.1.A,2003-12-04,My Vie En Rose,Nicole Cohen,digital print,,WCMA-PHOTO,2003.0
14983,M.2003.25,2003-12-04,Jahrmarkt (10 drypoints),Max Beckmann,drypoints,"10 drypoints; one 8 page booklet of text; ten original mounts and covers (empty); 1 title page; 1 colophon (portfolio case with booklets on PR.K.7B in coraplast box, rt 5/04; to PR.S.B.2 rt 3/2011",WCMA-PRINTS,1921.0
14991,39.1.259,1939-01-01,THE HARRIMAN NATIONAL BANK URGES FAITH COURAGE AND PATIENCE,M. Waddell,poster,"Issued by the Harriman National Bank;  Metro Litho Co., NY",WCMA-PRINTS,1918.0
14997,81.34,1981-01-01,Landscape with Figures and Goats,Anonymous (Chinese),watercolor on silk,,WCMA-EASTERN,1625.0
14998,88.6.90,1988-01-01,"Horse Brass, Face Piece",British,leather and brass,,WCMA-DEC ARTS,1875.0
15000,83.24.18,1983-01-01,"Drawing for ""Body Wall""",Vito Acconci,graphite on graph paper,,WCMA-DRAWING,1983.0
15001,99.1.270,1999-03-05,"Halt, Cossack!--So Far--But No Farther!",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1878.0
15002,66.22.25,1966-01-01,Orificial cicada,Chinese,jade,"mottled cream, eyes slightly protruding",WCMA-EASTERN,1015.0
15010,99.1.64,1999-03-05,The Trapper--Trapped.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1878.0
15011,29.1.10,1929-01-01,Jager mit Hunden,Max Liebermann,drypoint on paper,,WCMA-PRINTS,1891.0
15013,82.26.3,1982-01-01,"No Brains, no brains!; I never thought of that",Rube Goldberg,pen and ink over pencil on posterboard,,WCMA-DRAWING,1926.5
15014,99.1.155,1999-03-05,"An ""Aggressive"" ""Still Hunt.""",Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1876.0
15015,EL.81.3.42,,"Lawrence Hall Addition, Level 712: Museum Offices, Print Room, Gallery, Storage, & Workrooms","Moore, Grover & Harper",print on paper,mounted to foam core,WCMA-PRINTS,1981.0
15017,M.2003.25.H,2003-12-04,Die Seiltänzer (from 'Jahrmarkt'),Max Beckmann,drypoint on japan paper,,WCMA-PRINTS,1921.0
15018,M.2003.16,2003-12-04,Subjective Refraction,Tony Oursler,multimedia installation,A-H (components),WCMA-SCULPTURE,1999.0
15019,M.2003.19.A,2003-12-04,"Grief (from ""Momotaro/Peach Boy"")",Tomie Arai,intaglio on paper,,WCMA-PRINTS,2003.0
15020,M.2003.19.F,2003-12-04,"Portrait of a Soldier (from ""Momotaro/Peach Boy"")",Tomie Arai,intaglio on paper,,WCMA-PRINTS,2003.0
15021,M.2003.32.5.B,2003-12-30,"Der Anbruch, II.3. (cover)",Karl Schmidt-Rottluff,reproduction woodcut,,WCMA-PRINTS,1919.0
15022,M.2003.32.7,2003-12-30,Der Verlorene Sohn (from 'Der Anbruch'),Christian Rohlfs,woodcut | reproduction,,WCMA-PRINTS,1898.5
15024,M.2003.31,2003-12-22,Radio Repairs,Jacob Lawrence,gouache on paper,,WCMA-DRAWING,1946.0
15025,M.2003.26.4,2003-12-12,"Flathead/Ya - tax - ta - coo - (---) a young warrior, said to be distinguished with the head flattened, though custom of flattening the head is confined, almost entirely, to the women",George Catlin,pencil on paper,,WCMA-DRAWING,1852.0
15026,M.2003.27.B,2003-12-22,"Four Star Restaurant, Dijjon, France, 1990 from Seen While Dining, text by Burt Wolf",Ralph Gibson,color photograph,,WCMA-PHOTO,1990.0
15031,46.7.1.D,1946-01-01,Trouser Cash (money buried with the dead),Chinese,brass,,WCMA-EASTERN,149.5
15033,38.4.1,1938-01-01,Portrait bust of Edwin Howland Blashfield,Hermon Atkins MacNeil,bronze,,WCMA-SCULPTURE,1933.0
15034,RC.22.44,1994-01-01,Dog-tooth hoolah ankle rattle,Hawaiian,"animal teeth, rope",,WCMA Reserve Collection,0.0
15035,91.12.1,1991-01-01,Dish,Chinese,Dingyao ware,interior decorated with formal blossoming lotus; unglazed rim with small chip,WCMA-EASTERN,1043.5
15036,61.20,1961-01-01,St. Barbara,Anonymous (Flemish),oak,,WCMA-SCULPTURE,1549.5
15037,21.1.11,1921-01-01,Vase with Seated Anthropomorphic Monkey,Southern Campeche,clay,with orange and black paint,WCMA-AMERINDIAN,750.0
15038,84.16.12,1984-01-01,Winter Scene,Maurice Brazil Prendergast,oil on board,,WCMA-Prendergast,1908.5
15040,86.2.2,1986-01-01,100 Columns Temple - Shape of the Golden Column,Anne and Patrick Poirier,watercolor on paper,,WCMA-DRAWING,1983.0
15041,39.1.375,1939-01-01,"Your War Savings Pledge: Our boys make good their pledge, Are you keeping yours?",Anonymous (American),poster,,WCMA-PRINTS,1910.0
15042,39.1.374,1939-01-01,"Your War Savings Pledge: Our boys make good their pledge, Are you keeping yours?",Anonymous (American),poster,,WCMA-PRINTS,1910.0
15043,79.75.33,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
15044,94.1.16,1959,Female bust with stars and moon (Diana of the Tower?),Anonymous (European?),marble,,WCMA-SCULPTURE,0.0
15047,92.5.60,1992-01-01,"Doorway, Varied Industries Building",Cadwallader Lincoln Washburn,etching and drypoint on paper,,WCMA-PRINTS,1933.0
15050,M.2004.20,2004-10-06,Lotus #3 from the Lotus Series,Dorothea Rockburne,folded paper card with aquatint,,WCMA-PRINTS,1972.0
15057,M.2004.17.1,2004-10-06,Untitled,David Smith,spray paint  on paper,,WCMA-DRAWING,1964.0
15059,M.2004.21.13,2004-12-01,"Or the Husband Hogs Most of It, p.24 (from 'Trouble with Double Beds')",Rube Goldberg,graphite | ink | wash | white ink | on | illustration board,,WCMA-DRAWING,1936.5
15060,M.2004.21.29,2004-12-01,"Foolish Questions No.1,000,057",Rube Goldberg,graphite and ink on paper,,WCMA-DRAWING,1936.5
15061,M.2004.21.34,2004-12-01,"Foolish Questions No.4,444,707",Rube Goldberg,graphite and ink on paper,,WCMA-DRAWING,1936.5
15062,M.2004.21.45,2004-12-01,Boob McNutt: Shrimp Smith at the Depot,Rube Goldberg,graphite | ink and watercolor on paper,,WCMA-DRAWING,1936.5
15063,M.2004.21.47,2004-12-01,Bill and Professor Butts and Boob McNutt: Queen of Tomania| Are You Saving Jokers?,Rube Goldberg,ink on paper,,WCMA-DRAWING,1934.0
15064,M.2004.21.50,2004-12-01,Bill and Boob McNutt: Boob in the desert| Boob McNutt's Geography,Rube Goldberg,ink on paper,,WCMA-DRAWING,1934.0
15065,M.2004.21.52,2004-12-01,Bill and Boob McNutt: Giant caterpillar,Rube Goldberg,ink on paper,,WCMA-DRAWING,1933.0
15067,39.1.207,1939-01-01,PROVIDE THE SINEWS OF WAR,Joseph Pennell,poster,,WCMA-PRINTS,1918.0
15069,87.16.47,1987-01-01,Male head,Wayne Wadhams,gelatin silver print,,WCMA-PHOTO,1978.0
15070,60.44,1960-01-01,"Unsafe Tenement (From ""Twelve Etchings from Nature"")",James Abbott McNeill Whistler,etching,,WCMA-PRINTS,1858.0
15082,M.2001.17,2001-12-27,"Edith and Isaac Newton, Pennsylvania, 1974",Emmet Gowin,gelatin silver print,,WCMA-PHOTO,1975.0
15083,M.2001.14.1.A,2001-11-27,Eye Bench,Louise Bourgeois,black Zimbabwe granite,"Located directly east of museum's entrance, on the patio",WCMA-SCULPTURE,2001.0
15084,M.2001.14.2.A,2001-11-27,Eye,Louise Bourgeois,bronze | electric light,Located on the lawn between Route 2 and WCMA,WCMA-SCULPTURE,2001.0
15085,M.2001.14.3.A,2001-11-27,Eye,Louise Bourgeois,bronze | electric light,Located on the lawn between Route 2 and WCMA,WCMA-SCULPTURE,2001.0
15086,M.2001.14,2001-11-27,Eyes (nine elements),Louise Bourgeois,"granite, bronze, electric light","Located on the front lawn of the museum,  Lawrence Hall, on Route 2landscape design by Dan Kiley",WCMA-SCULPTURE,2001.0
15096,41.15.49,1941-01-01,Album of eight pictures,Hua Yen (Hsin-lo Shan-jên),ink and color on silk,Doubt about artist.,WCMA-EASTERN,1723.5
15097,77.9.58,1977-01-01,Morning Frost,Karl Knaths,oil on canvas,,WCMA-PAINTING,1958.0
15099,99.1.70,1999-03-05,In the Matrimonial Market.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1878.0
15100,99.1.69,1999-03-05,A Dream: Before and After Thanksgiving Dinner.,Thomas Nast,wood engraving on newsprint,,WCMA-PRINTS,1878.0
15101,60.39.5.B,1960-01-01,Isis and infant Horus Amulet,Egyptian,faience,deep bright blue,WCMA-ANCIENT,-706.0
15102,98.15.6,1998-12-22,Switzerland 1948,Robert Louis Frank,gelatin silver print,,WCMA-PHOTO,1948.0
15103,92.21.3,1992-01-01,"El Paso, 1976",Grant Mudford,gelatin silver print,,WCMA-PHOTO,1978.0
15104,39.1.49,1939-01-01,Sladami Ojaców Naszych...Following the Paths of our Fathers in the Ranks of the Polish Army for Motherland and Freedom,Wladislaw Theodore Benda,lithograph on paper,,WCMA-PRINTS,1917.5
15105,77.53.39,1977-01-01,Untitled,Richard Howard Hunt,lithograph on paper,,WCMA-PRINTS,1963.5
15106,84.26.10,1984-01-01,Untitled,Rube Goldberg,pencil on paper,,WCMA-DRAWING,1926.5
15107,49.17.16,1949-01-01,Bank check with signature,Thomas Nast,printed paper with handwriting,,WCMA-PRINTS,1891.0
15110,98.16,1998-12-30,Unicorn,Niki de Saint Phalle,painted | fiberglass | polyester resin,,WCMA-SCULPTURE,1994.0
15111,85.22.13,1985-01-01,Frame Sketch,Charles Prendergast,pencil on paper,,WCMA-Prendergast,1905.5
15112,79.75.92,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
15119,79.75.34,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
15123,M.2004.21.57,2004-12-01,Soup and Fish - the Saturday night sheiks,Rube Goldberg,ink on paper,,WCMA-DRAWING,1936.5
15124,M.2004.21.66,2004-12-01,"The Big Fight is Interferring with the Progress of Justice| Foolish Questions No. 6,140",Rube Goldberg,ink on paper,,WCMA-DRAWING,1921.0
15125,M.2004.21.75,2004-12-01,Job to Be Done,Rube Goldberg,graphite | ink | white ink | on paper,,WCMA-DRAWING,1936.5
15126,M.2004.21.81,2004-12-01,Unrequited Love,Rube Goldberg,graphite | ink | white ink | on paper,,WCMA-DRAWING,1936.5
15139,M.2004.4.5,2004-02-27,Open No. 175,Robert Motherwell,acrylic on canvas,,WCMA-PAINTING,1970.0
15140,M.2004.5.1,2004-04-02,John Marin,Gaston Lachaise,bronze,,WCMA-SCULPTURE,1928.0
15141,M.2001.20.2,2001-12-27,"Weiblicher Halbakt, Schlafend [Sleeping Nude]",Lovis Corinth,drypoint on paper,,WCMA-PRINTS,1910.0
15144,M.2001.15.2,2001-11-27,Astral Potato Field,Tom Burckhardt,ink | colored pencil on paper,,WCMA-DRAWING,2001.0
15146,M.2001.5.H,2001,"Untitled (from ""The Brooklyn Bridge"")",Walker Evans and Hart Crane,hand-pulled photogravure from original negative,,WCMA-PHOTO,1961.0
15148,RC.17.44,1993-01-01,Sketch of trees,attributed to Isabelle Makepeace,pencil on paper,,WCMA Reserve Collection,1968.0
15150,85.24.35,1985-01-01,Crucifixion,Dimitri Hadzi,bronze,,WCMA-SCULPTURE,1953.0
15151,A.1.2.HHH,1998-12-11,mallet,Charles Prendergast,wood,,WCMA-Prendergast,1905.5
15152,91.15.11,1991-01-01,Rawat Ragho Das of Devgarh on a Tiger Hunt,Rajasthan,"opaque watercolor on paper, heightened with gold and silver",,WCMA-EASTERN,1768.5
15155,M.2001.10.B,,Untitled,Glenn Ligon,"softground etching, aquatint, spitbite, sugarlift on paper",,WCMA-PRINTS,1992.0
15163,M.2002.17.1.A,2002,Landscape (from album of four leaves),Huang Binhong,ink and color on paper,,WCMA-EASTERN,1914.5
15164,M.2002.17.3.A,2002-11-02,Flowers in the Style of Li Liu-fang (from three album leaves),Huang Binhong,ink and color on paper,plum blossom & narcissus,WCMA-EASTERN,1914.5
15165,M.2002.17.3.C,2002,Narcissus (from three album leaves),Huang Binhong,ink and color on paper,,WCMA-EASTERN,1914.5
15166,M.2002.17.6,2002-11-02,Yüeh River,Huang Binhong,ink and color on paper,,WCMA-EASTERN,1914.5
15167,M.2002.8,2002-06-25,Girls in the Windows,Ormond Gigli,dye coupler print,,WCMA-PHOTO,1977.5
15170,M.2002.10.2.B,2002-11-02,"Text folder, Page 5, #35 (from ""Flash - November 22, 1963"")",Andy Warhol,screenprint | Teletype text,,WCMA-PRINTS,1968.0
15171,M.2002.11.2.1.J,2002-11-02,Recto/Verso #10,Robert Heinecken,chrome print photogram,,WCMA-PHOTO,1989.0
15172,M.2002.12.2.B,2002-11-02,"Original Woodcuts from Robert Mangold Prints 1968-1998; printer Carol Strum at NADJA, Kripplebush, New York",Robert Peter Mangold,woodcut,,WCMA-PRINTS,2000.0
15173,M.2002.7.2,2002-05-16,"Cabaret, coin, rue de Varenne 31 [31 rue de Bac?] (from ""Art in Old Paris"")",Jean Eugène Auguste Atget,vintage | photograph,,WCMA-PHOTO,1911.0
15199,91.6.1,1991-01-01,Autumn,Alphonse Marie Mucha,color lithograph on paper,,WCMA-PRINTS,1900.0
15204,RC.58.3.B,2001-05-04,"Bijin-ga, Beauties triptych",Eishin,woodblock print,,WCMA Reserve Collection,1800.0
15207,71.32.B,1971-01-01,"Untitled (from the portfolio ""Suite de Six"")",Richard Mortensen,color screenprint on paper,,WCMA-PRINTS,1960.0
15208,92.6.10,1992-06-25,Untitled: palace garden; with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
15209,RC.6.5,1991-01-01,Dance Mask,Mbete,wood with white kaolin,,WCMA Reserve Collection,1895.5
15212,92.22.13,1992-01-01,"Untitled (from ""Providence House Series,"" 1963-76)",Harry Morey Callahan,dye transfer print,,WCMA-PHOTO,1969.5
